Longitude,Latitude,Hospital Name
"-0,13745","51,52461", University College Hospital NHS Trust
"-0,18342","51,16766", BUPA Gatwick Park Hospital
"-0,55396","51,23856", Arreton House Rehabilitation Unit
"-0,08987","51,52724", Moorfields Eye Hospital
"-0,1775","51,68717", Potters Bar Community Hospital
"-0,58202","51,18778", Unsted Park Hospital
"-0,07425","51,61352", North Middlesex Hospital
"-0,00538","51,40843", Sloane Hospital The
"0,28552","51,37251", BMI Fawkham Manor Hospital
"-0,17083","51,48973", Royal Brompton and Harefield Hospital NHS Trust
"-0,28309","51,4143", Coombe Wing Private Patients Unit Kingston Hospital
"-0,21189","51,92426", Lister Hospital
"-0,48274","51,60674", Royal Brompton and Harefield NHS Trust
"0,25973","51,13549", Maidstone and Tunbridge Wells NHS Trust
"-0,14785","51,52024", Harley Street Clinic The
"-0,46081","51,37337", Weybridge Hospital
"0,1105","51,578", Goodmayes Hospital
"-0,14001","51,52243", London Foot Hospital The
"-0,11704","51,52585", Eastman Dental Hospital and Institute
"0,22916","51,59234", Harold Wood Hospital
"-0,11969","51,49793", Guys and St Thomass NHS Trust
"-0,17279","51,49086", Royal Marsden Hospital The
"-0,07919","51,27353", I B H North Downs Hospital
"-0,44652","51,61648", Bishops Wood Hospital
"-0,3239","51,06964", Horsham Hospital
"0,18814","51,13449", BUPA Tunbridge Wells Hospital
"-0,22026","51,37944", Cardiolegist-Joseph Simon P
"0,25816","51,43505", Darent Valley Hospital
"-0,57243","51,54279", Nuffield Hospitals - Thames Valley
"0,14278","51,0637", The Horder Centre For Joint Replacement Surgery
"0,27344","51,17809", Tonbridge Cottage Hospital
"0,01387","51,37278", Priory Hospital Hayes Grove The
"-0,08298","51,48615", Aylesbury Healthy Living Network
"-0,32521","51,44956", St Johns and Amyand House
"-0,59377","51,50538", Upton Hospital
"-0,1613","51,21863", East Surrey Hospital The
